index , Longitude, Latitude,hour,DBSCAN,HAC,K-Means,Satellite Number
121,233.8649345,0.729738634,16,0,3,0,41544
122,198.5013451,11.24536803,7,0,3,1,15235
123,204.0588419,7.718448709,4,0,3,1,8476
124,247.7572057,7.177714273,9,0,3,0,29676
125,255.0748998,1.523445476,7,0,3,0,3029
126,192.1743525,15.00201156,10,0,0,1,13083
127,179.8177905,2.581189615,15,0,0,1,17875
128,172.892315,14.45852228,10,0,0,1,11728
129,249.1257525,7.975672288,7,0,3,0,28218
130,191.9682344,13.42769173,10,0,0,1,21639
131,217.7852146,-4.555834066,13,0,3,1,10061
132,231.1143855,-0.016377094,16,0,3,0,33453
133,207.5866531,-0.719782053,16,0,3,1,21140
134,241.0698221,6.142422925,8,0,3,0,8132
135,256.2808904,9.607838726,4,0,3,0,23451
136,164.9067809,-4.997654796,4,0,0,1,29516
137,237.1040461,4.756490988,8,0,3,0,25126
138,224.590245,-8.752891333,14,0,3,0,10143
139,171.2454044,8.578237066,6,0,0,1,6974
140,211.1307974,0.292964245,4,0,3,1,21140
141,252.6746132,0.013254688,9,0,3,0,39127
142,212.1378234,-4.257641729,4,0,3,1,24313
143,240.8974048,0.001223306,12,0,3,0,28238
144,219.3161158,5.254833532,11,0,3,1,29642
145,241.2934794,0.030586855,6,0,3,0,31102
146,200.7406016,-5.207708395,4,0,3,1,18951
147,188.8837653,5.190187768,10,0,0,1,39070
148,198.2297707,1.501048407,9,0,3,1,36359
149,249.8176995,-0.027755923,16,0,3,0,28935
150,245.2624707,6.130076638,5,0,3,0,3431
151,150.7386239,2.991783642,8,0,0,1,19215
152,221.8461774,5.131929509,11,0,3,1,23864
153,180.615095,8.822893466,7,0,0,1,7229
154,243.8957645,0.014365842,14,0,3,0,39360
155,196.8575105,15.32590592,11,0,3,1,16101
156,239.0862094,8.75838513,10,0,3,0,23943
157,175.1965824,12.25632005,13,0,0,1,20402
158,244.8829188,-6.725941097,16,0,3,0,3431
159,195.2857159,11.03215163,6,0,3,1,11153
160,243.0409103,6.327109045,6,0,3,0,21940
161,185.6437647,4.051693353,12,0,0,1,27566
162,200.7532148,-4.921573476,4,0,3,1,24880
163,254.9431802,-4.917652294,13,0,3,0,3029
164,165.9667782,0.04885076,16,0,0,1,38356
165,237.1828957,8.30932402,11,0,3,0,24748
166,152.0477506,0.009903655,7,0,0,1,32252
167,250.1678394,-8.187028144,15,0,3,0,20122
168,245.0112967,2.732886451,9,0,3,0,31577
169,222.9814317,-0.893356341,14,0,3,1,20499
170,198.2223797,11.28396466,8,0,3,1,19919
171,254.6430691,-7.237606297,14,0,3,0,14158
172,181.3821884,2.270671746,12,0,0,1,23915
173,243.8894276,0.041106162,6,0,3,0,39360
174,157.0084291,-3.150041797,4,0,0,1,24916
